Number,Name,Spawn_Type,Encounter_Rarity_Score,Recommendation,Data_Sources,Structured_Spawn_Data_Score,Enhanced_Curated_Data_Score,PokemonDB_Catch_Rate_Score
26,Alolan Raichu,wild,0.0038,Should Always Trade,"Structured Spawn Data, PokemonDB Catch Rate",0.0038,,2.9411764705882355
38,Alolan Ninetales,wild,0.00385,Should Always Trade,"Structured Spawn Data, PokemonDB Catch Rate",0.00385,,2.9411764705882355
28,Alolan Sandslash,wild,0.0185,Should Always Trade,"Structured Spawn Data, PokemonDB Catch Rate",0.0185,,3.5294117647058822
20,Alolan Raticate,wild,0.205,Should Always Trade,"Structured Spawn Data, PokemonDB Catch Rate",0.205,,4.980392156862745
23,Ekans,wild,1.135,Should Always Trade,"Structured Spawn Data, PokemonDB Catch Rate",1.135,,10.0
27,Alolan Sandshrew,wild,4.0,Depends on Circumstances,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",0.555,4.0,10.0
37,Vulpix,wild,4.0,Depends on Circumstances,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",0.11,4.0,7.450980392156863
27,Sandshrew,wild,4.0,Depends on Circumstances,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",0.555,4.0,10.0
35,Clefairy,wild,4.0,Depends on Circumstances,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",0.46,4.0,5.882352941176471
37,Alolan Vulpix,wild,4.0,Depends on Circumstances,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",0.11,4.0,7.450980392156863
39,Jigglypuff,wild,4.0,Depends on Circumstances,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",0.195,4.0,6.666666666666667
32,Nidoran♂,wild,6.0,Safe to Transfer,"Enhanced Curated Data, PokemonDB Catch Rate",,6.0,9.215686274509803
25,Pikachu,wild,6.0,Safe to Transfer,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",0.105,6.0,7.450980392156863
7,Squirtle,wild,6.0,Safe to Transfer,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",0.29,6.0,1.7647058823529411
1,Bulbasaur,wild,6.0,Safe to Transfer,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",0.345,6.0,1.7647058823529411
4,Charmander,wild,6.0,Safe to Transfer,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",0.1265,6.0,1.7647058823529411
29,Nidoran♀,wild,6.0,Safe to Transfer,"Enhanced Curated Data, PokemonDB Catch Rate",,6.0,9.215686274509803
19,Alolan Rattata,wild,6.525,Safe to Transfer,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",6.525,6.0,10.0
19,Rattata,wild,6.525,Safe to Transfer,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",6.525,6.0,10.0
21,Spearow,wild,7.0,Safe to Transfer,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",2.365,7.0,10.0
43,Oddish,wild,7.0,Safe to Transfer,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",0.51,7.0,10.0
41,Zubat,wild,8.0,Safe to Transfer,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",3.26,8.0,10.0
10,Caterpie,wild,8.0,Safe to Transfer,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",1.516,8.0,10.0
13,Weedle,wild,8.0,Safe to Transfer,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",3.56,8.0,10.0
16,Pidgey,wild,10.0,Safe to Transfer,"Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate",7.99,10.0,10.0
